Bill,Session,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,File Date,Final Date,Sponsor 1,Sponsor 2,Sponsor 3,Sponsor 4,Sponsor 5,Sponsor 6,Sponsor 7,Sponsor 8,Sponsor 9,Sponsor 10,Sponsor 11,Sponsor 12,Sponsor 13,Sponsor 14,Sponsor 15,Sponsor 16,Sponsor 17,Sponsor 18,Sponsor 19,Sponsor 20,Sponsor 21,Sponsor 22,Sponsor 23,Sponsor 24,Sponsor 25,Sponsor 26,Sponsor 27,Sponsor 28,Sponsor 29,Sponsor 30,Sponsor 31,Sponsor 32,Sponsor 33,Sponsor 34,Sponsor 35,Sponsor 36,Sponsor 37,Sponsor 38,Sponsor 39,Sponsor 40,Sponsor 41,Sponsor 42,Sponsor 43,Sponsor 44,Sponsor 45,Sponsor 46,Sponsor 47,Sponsor 48,Sponsor 49,Sponsor 50,Sponsor 51,Sponsor 52,Sponsor 53,Sponsor 54,Sponsor 55
SJ32 ,2020,1,S-R,0,0,,,,,,,,0,DiC,20200106,20200124,John Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ56 ,2020,1,S-R,0,0,,,,,,,,0,DiC,20200108,20200207,Lynwood Lewis,Jennifer Boysko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB94  ,2020,1,S-CL,1,0,1,H-LC; H-A,1,1,1,1,0,1,PiL,20191202,20200411,Barbara Favola,Joe Morrissey,Jennifer Boysko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB106,2020,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,0,1,PiL,20191208,20200402,Scott Surovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB320  ,2020,1,S-ACNR; S-FA,1,0,1,H-ACNR,1,1,0,1,1,1,PiL,20200106,20200422,Lynwood Lewis,Monty Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB354  ,2020,1,S-CL ,0,0,,,,,,,,0,DiC,20200106,20200209,John Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB376 ,2020,1,S-CL ,0,0,,,,,,,,0,DiC,20200106,20200209,Dave Suetterlein,John Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB379 ,2020,1,S-CL ,0,0,,,,,,,,0,DiC,20200106,20200209,Jeremy McPike,Jennifer Boysko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB406  ,2020,1,S-GLT,1,0,1,H-GL,1,1,1,1,1,1,PiL,20200107,20200422,Ghazala Hashmi,Jennifer Boysko,Jennifer McClellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB628 ,2020,1,S-GLT,1,0,1,H-GL,1,1,1,1,0,1,PiL,20200107,20200306,Scott Surovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB629  ,2020,1,S-CL,1,0,1,H-LC,1,1,1,1,1,1,PiL,20200107,20200422,Scott Surovell,Jennifer Boysko,Jennifer McClellan,Joe Morrissey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB630  ,2020,1,S-GLT,1,0,1,H-CTI ,1,1,0,1,0,1,PiL,20200107,20200409,Scott Surovell,Bill DeSteph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB634,2020,1,S-CL; S-FA,1,0,1,H-LC ,0,,,,,0,DiC,20200107,20200303,Scott Surovell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB710 ,2020,1,S-CL,1,0,1,H-LC,1,1,1,1,0,1,PiL,20200107,20200411,Jennifer McClellan,Jennifer Boysko,Adam Ebbin,John Edwards,Janet Howell,Lynwood Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB731  ,2020,1,S-CL,1,0,1,H-LC,1,1,1,1,0,1,PiL,20200107,20200410,Jennifer McClellan,Jennifer Boysko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB795 ,2020,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,0,1,PiL,20200108,20200325,Lynwood Lewis,Monty Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB797  ,2020,1,S-GLT,0,0,,,,,,,,0,DiC,20200108,20200129,Lynwood Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB883,2020,1,S-GLT,1,0,1,H-LC; H-GL,1,1,1,1,1,1,PiL,20200108,20200422,Mamie Locke,Jennifer Boysko,Jennifer McClellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
